,exp_id,date,n_iterations,ra,dec,mountha,mountaz,zd,airmass,guide_rms,guide_rms_ra,guide_rms_dec,centroids_rms_ra,centroids_rms_dec,centroids_std_ra,centroids_std_dec,field_rotation_rate,field_rotation_init,field_rotation_rate_slope_std,field_rotation_rate_linregress_std,psf_fwhm,psf_fwhm_std,psf_fit,effective_seeing
200,52925,2020-03-04 05:52:25.725955,119,133.41998,11.646261,0.527696,181.488247,20.322853,1.066248,213.8172060210788,158.67075713028112,143.32267239471852,105.25697559478651,84.46058895709788,36.72297994005442,30.230661148790976,0.061291583224483276,-1.8722784017281002,0.18838273035600525,1.0826068239765623,1.8460853953900773,0.2133951034257061,0.1424562709358334,1.9135162861569117
201,52920,2020-03-04 05:10:21.722424,20,104.995742,38.0007,22.565537,294.391308,19.391583,1.06002,194.6769804386618,107.77736798693651,162.12083660814105,79.33163264518826,59.63318333083671,11.637423979757799,13.181296252131096,-0.2366936676822924,2.3060649129654074,0.7980047428654738,0.7772963978647401,1.3098740751538482,0.08733208226963741,0.03862853290369333,1.3877778883291592
202,52790,2020-03-01 06:48:37.096699,78,195.011121,28.99719,-48.204294,81.051138,41.307842,1.330303,751.5825681518905,460.54894979256187,593.9453018542695,507.6528190540247,478.52405462209913,327.96481185936875,334.57113173274047,0.8746691172983652,-4.490222747323232,2.9758710610439185,11.242882451046025,1.8028041401307142,0.12400898116558505,75.39561532630358,2.5263495958086337
203,52771,2020-03-01 03:37:08.097293,30,133.426558,11.64489,-32.62451,116.687748,36.227617,1.239044,204.582439918954,161.64507280549742,125.39874465439377,263.06026543049126,257.54329054606825,186.77634057582955,172.55568353512112,-1.550116836701611,2.5807680108726934,4.61576744499882,6.790535085708185,1.8700405588524753,0.09286149217210962,0.2537185181521573,1.931097977699156
204,52766,2020-03-01 03:25:10.017101,48,133.42758,11.64453,-36.387887,112.959276,39.125962,1.288273,384.94473441083755,293.3798457584388,249.22021317177487,381.8325542417247,421.20183751088064,203.40263079670595,254.673000076851,0.48876162589738276,-4.477808525740466,3.486558809831583,8.180677918437782,1.8604858558232638,0.13019650341680614,0.48667237204720903,2.0695665149162665
205,52764,2020-03-01 03:06:23.493409,24,105.002279,38.00092,-11.649737,54.434266,11.280423,1.019662,192.7114610786309,141.01172255914364,131.35220337688966,146.80977938035863,176.62402286647676,95.74162841219969,96.84978762601385,-0.8512351195096247,-1.9971088791742366,1.9399267849441502,2.2857604835243066,1.7832900002019831,0.11333261046810401,0.09019647967379157,1.8401245592137516
206,52680,2020-02-29 12:27:05.042895,108,214.746021,53.403871,14.668631,338.114746,23.891794,1.093522,109.10427843594357,87.4836242598575,65.19477785365919,122.46125058081928,68.40238218207026,23.560340957838577,19.494560172011784,0.2152117350349576,2.158684671608169,0.11024372703900374,0.5757792765941624,1.0056740091925864,0.08131941002921633,0.03889856116855164,1.037973304380692
207,52679,2020-02-29 12:06:13.652027,108,214.7475,53.403941,9.444559,345.182911,22.490825,1.082151,148.16177307315502,110.04059602638856,99.21178471501372,116.83357010367172,73.724478617579,34.64139556088417,25.903292521327916,0.16511133846057854,0.6672510972651853,0.19079363730585144,0.9948108687921006,1.3031520735032398,0.17525697265643325,0.06785068450466698,1.3490487625588885
208,52667,2020-02-29 11:31:08.887184,108,157.985842,24.99463,57.39048,277.45501,50.352273,1.565134,146.64682554723396,118.10125806892562,86.93321738908496,226.2262901242018,155.18037841279653,84.62747273183003,49.09691193926656,0.22115192517992313,2.8745589673611573,0.2624676098621369,1.371476081533376,1.4117912792947425,0.08998454523407919,0.1696736148799567,1.4534115964787757
209,52666,2020-02-29 11:09:55.574020,108,157.987971,24.99562,52.07593,275.08317,45.870465,1.434791,198.43635195156918,168.19484595480077,105.29710143250793,165.25572716393734,138.32036425798486,58.72422645180788,41.74883722815433,0.07151295673357613,1.9850513634175975,0.3000909336578501,1.566048568370818,1.5005495775170954,0.13276610559420984,0.09596092272385084,1.5716238098194808
