col0,Petal ID,Petal Loc ID,Device Loc ID,Device Type,DOTID,XPL,YPL,ZPL,X MNT,Y MNT,Z MNT,FCL Source,Proj Distance,Provenance,Notes,XFP,YFP,ZFP,LOCATION,XPIX,YPIX
3874,9,9,439,FIF,1,410.1644408,13.6522252,-19.1127539,400.512672,13.876835,-104.919451,Measured,86.5,"DESI-4890, DESI-3543",,-323.87163142981296,-252.1010264530427,-19.1127539,9439,5009.34,1443.249
3866,9,9,239,FIF,1,215.1393675,148.8635891,-7.6598991,212.227169,147.425269,-93.972373,Measured,86.5,"DESI-4890, DESI-3543",,-86.61711915075571,-246.88676268954885,-7.6598991,9239,3530.785,1444.989
3870,9,9,321,FIF,1,304.4816636,85.405769,-11.1778777,298.922963,84.891334,-97.372961,Measured,86.5,"DESI-4890, DESI-3543",,-196.19627509074184,-248.0483941906007,-11.1778777,9321,4227.224,1446.489
3872,9,9,321,FIF,3,303.3300451,85.7301037,-11.1087644,298.922963,84.891334,-97.372961,Measured,86.5,"DESI-4890, DESI-3543",,-195.073904058994,-247.63402547283889,-11.1087644,9321,4220.294,1448.905
3876,9,9,439,FIF,3,409.0112736,13.3441989,-18.9741681,400.512672,13.876835,-104.919451,Measured,86.5,"DESI-4890, DESI-3543",,-323.11963447330055,-251.17410932080068,-18.9741681,9439,5005.111,1448.704
1109,4,0,150,FIF,2,242.0536985,13.4453423,-6.5259713,237.944629,13.975168,-92.831352,Measured,86.5,"DESI-4900, DESI-3543",,-61.99154973802919,-234.29603378324546,-6.5259713,150,3373.339,1523.049
1111,4,0,150,FIF,4,241.5393467,14.3035362,-6.4840054,237.944629,13.975168,-92.831352,Measured,86.5,"DESI-4900, DESI-3543",,-61.01632216960918,-234.07245888761975,-6.4840054,150,3367.074,1524.434
1110,4,0,150,FIF,3,241.026959,15.1641698,-6.4929248,237.944629,13.975168,-92.831352,Measured,86.5,"DESI-4900, DESI-3543",,-60.039382341242444,-233.85150658437084,-6.4929248,150,3360.819,1525.812
1108,4,0,150,FIF,1,240.5736684,14.0547562,-6.4680389,237.944629,13.975168,-92.831352,Measured,86.5,"DESI-4900, DESI-3543",,-60.95410039574384,-233.07719283356792,-6.4680389,150,3366.767,1530.656
1658,5,1,150,FIF,1,242.6136314,14.4198558,-6.5473998,237.948845,13.993519000000001,-92.832505,Measured,86.5,"DESI-4881, DESI-3543",,88.7319239356743,-226.28472050249727,-6.5473998,1150,2398.852,1580.51
1660,5,1,150,FIF,3,241.9777302,13.4034971,-6.4985452,237.948845,13.993519000000001,-92.832505,Measured,86.5,"DESI-4881, DESI-3543",,87.56876618826578,-225.9941703383764,-6.4985452,1150,2406.312,1582.198
1661,5,1,150,FIF,4,241.6187681,14.3366106,-6.4688019,237.948845,13.993519000000001,-92.832505,Measured,86.5,"DESI-4881, DESI-3543",,88.34520016548335,-225.3643252207953,-6.4688019,1150,2401.288,1586.242
1659,5,1,150,FIF,2,241.2597138,15.2700618,-6.496539,237.948845,13.993519000000001,-92.832505,Measured,86.5,"DESI-4881, DESI-3543",,89.12192679740893,-224.734288021586,-6.496539,1150,2396.253,1590.287
2226,6,2,439,FIF,3,410.2787575,14.8861026,-19.0846595,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,340.6629697109612,-229.096907811987,-19.0846595,2439,828.94,1611.195
2227,6,2,439,FIF,4,409.4333717,14.3625961,-18.9569193,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,339.6713278227029,-229.02354179917955,-18.9569193,2439,834.802,1611.381
2225,6,2,439,FIF,2,408.5865273,13.8385835,-18.8670265,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,338.6782084179806,-228.94972790662376,-18.8670265,2439,840.679,1611.593
2224,6,2,439,FIF,1,409.168823,15.3275429,-18.9531192,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,340.0244720521245,-228.08738075815714,-18.9531192,2439,832.533,1617.213
1696,5,1,541,GIF,3,296.3708873,208.1156085,-14.8020273,,,,Measured,,DESI-4881,,289.5582670320591,-217.5287457166284,-14.8020273,1541,1134.115,1669.938
1697,5,1,541,GIF,4,295.4701637,207.6889502,-14.6257704,,,,Measured,,DESI-4881,,288.87405495646726,-216.80404291949696,-14.6257704,1541,1138.169,1674.268
1694,5,1,541,GIF,1,295.3102696,208.6760999,-14.7319856,,,,Measured,,DESI-4881,,289.76341891677157,-216.3468095004026,-14.7319856,1541,1132.685,1677.292
1695,5,1,541,GIF,2,294.571839,207.2620428,-14.5463879,,,,Measured,,DESI-4881,,288.19034758927984,-216.08169852043343,-14.5463879,1541,1142.208,1678.571
2796,7,8,541,GIF,3,294.5852061,208.021589,-14.6455395,,,,Measured,,DESI-4845,,-294.64505609081124,-208.05255298940867,-14.6455395,8541,4844.413,1709.069
2797,7,8,541,GIF,4,295.5500667,207.7722253,-14.7019191,,,,Measured,,DESI-4845,,-295.60991327429093,-207.8031760702728,-14.7019191,8541,4850.263,1710.76
2795,7,8,541,GIF,2,296.5174544,207.5261943,-14.7952879,,,,Measured,,DESI-4845,,-296.5772976034304,-207.55713181651382,-14.7952879,8541,4856.168,1712.424
2794,7,8,541,GIF,1,295.0465466,206.9134875,-14.6132564,,,,Measured,,DESI-4845,,-295.1063814091239,-206.94444516887575,-14.6132564,8541,4847.416,1715.997
2799,7,8,542,GIF,2,357.4933261,203.5923179,-19.4247533,,,,Measured,,DESI-4845,,-357.55311540128076,-203.62242001147763,-19.4247533,8542,5222.307,1747.448
